test_line,evaluation_line,cer,wer
5,5,0.0,0.0
حرفِ آغاز,حرفِ آغاز,0.0,0.0
ڈاکڑر فیروز احمد,ڈاکڑر فیروز احمد,0.0,0.0
اکثر ایسا ہوتا ہے کہ جب کوئی کتاب اپنی مقبولیت کے باعث بار بار چھتی,اکثر ایسا ہوتا ہے کہ جب کوئی کتاب اپنی مقبولیت کے باعث بار بار چھتی,0.0,0.0
باغ و بہار جب پہلی دفع ۱۸۰۴ء میں شائع ہوئی تو جان گلکرسٹ کی تمام تر,باغ و بہار جب پہلی دفع ۱۸۰۴ء میں شائع ہوئی تو جان گلکرسٹ کی تمام تر,0.0,0.0
باغ وبہار کے متداولہ نسخوں میں اغلاط متن کی درستگی کا واحد طریقہ یہ ہے,باغ وبہار کے متداولہ نسخوں میں اغلاط متن کی درستگی کا واحد طریقہ یہ ہے,0.0,0.0
اور تخقیقی مطالعہ کیا ہے، انہوں  نے اگر چہ حتی الامکان اس کے متن کی درستگی پر بھی,اور تخقیقی مطالعہ کیا ہے، انہوں  نے اگر چہ حتی الامکان اس کے متن کی درستگی پر بھی,0.0,0.0
لفظی اور اِملائی خامیاں موجو تھیں جو درست نہیں کی جاسکیں اور وہ بار بار دہرائی,لفظی اور اِملائی خامیاں موجو تھیں جو درست نہیں کی جاسکیں اور وہ بار بار دہرائی,0.0,0.0
ہے تو غیر شعوری طور پر کاتبوں کی سہل انگاری کے سبب اُس کے متن میں لفظی اور,ہے تو غیر شعوری طور پر کاتبوں کی سہل انگاری کے سبب اُس کے متن میں لفظی اور,0.0,0.0
املائی سطح پر ایسے نقائص در آتے ہیں جو اصل مصنف اور اُس کی منشاء کے یکسر خلاف,املائی سطح پر ایسے نقائص در آتے ہیں جو اصل مصنف اور اُس کی منشاء کے یکسر خلاف,0.0,0.0
کہ فورٹ ولیم کا لج سے شائع شدہ متن کو آنکھ بند کر کے قبول کر لیا گیا۔,کہ فورٹ ولیم کا لج سے شائع شدہ متن کو آنکھ بند کر کے قبول کر لیا گیا۔,0.0,0.0
کہ خطّی نسخوں سے رجوع کیا جائے لیکن دقّت یہ ہے کہ باغ و بہار کے خطّی نسخے بہت,کہ خطّی نسخوں سے رجوع کیا جائے لیکن دقّت یہ ہے کہ باغ و بہار کے خطّی نسخے بہت,0.0,0.0
ہوتے ہیں۔ چنانچہ عام ہی نہیں بلکہ بسا اوقات خاص قاری کو بھی ان کا علم نہیں ہو,ہوتے ہیں۔ چنانچہ عام ہی نہیں بلکہ بسا اوقات خاص قاری کو بھی ان کا علم نہیں ہو,0.0,0.0
پاتا۔ باغ وبہار جیسی مشہورِ عام کتاب کے ساتھ بھی یہی ہوا۔ اس کتاب کے,پاتا۔ باغ وبہار جیسی مشہورِ عام کتاب کے ساتھ بھی یہی ہوا۔ اس کتاب کے,0.0,0.0
بازاری اڈیشن سے اگر صرٍِفِ نظر کر لیا جائے تو جن حضرات نے باغ وبہار کا تنقیدی,بازاری اڈیشن سے اگر صرٍِفِ نظر کر لیا جائے تو جن حضرات نے باغ وبہار کا تنقیدی,0.0,0.0
اپنی توجّہ مرکوز کی مگر ان کے مرتّبہ متون اب بھی اغلاط سے خالی نہیں۔,اپنی توجّہ مرکوز کی مگر ان کے مرتّبہ متون اب بھی اغلاط سے خالی نہیں۔,0.0,0.0
قتیاطی تدابیر کے باوجود اُس کے متن میں بے شمار غلطیاں راہ پاگی تھیں۔ چنانچہ,قتیاطی تدابیر کے باوجود اُس کے متن میں بے شمار غلطیاں راہ پاگی تھیں۔ چنانچہ,0.0,0.0
اس پہلی اشاعت میں ہی ایک اغلاط نامہ شامل کیا گیا تھا تاکہ قاری اُس کی روشنی,اس پہلی اشاعت میں ہی ایک اغلاط نامہ شامل کیا گیا تھا تاکہ قاری اُس کی روشنی,0.0,0.0
میں متن کو درست کر لے۔ مگر یہ اُن اغلاط کا احوال تھا جو متن کے مطا لعے میں فوری,میں متن کو درست کر لے۔ مگر یہ اُن اغلاط کا احوال تھا جو متن کے مطا لعے میں فوری,0.0,0.0
طور پر گرفت میں آئیں جبکہ غلط نامے کے باوجود اِس پہلے اڈیشن میں ایسی مزید,طور پر گرفت میں آئیں جبکہ غلط نامے کے باوجود اِس پہلے اڈیشن میں ایسی مزید,0.0,0.0
جاتی رہیں۔ یہاں تک کہ دوصدیاں گزرجانے کے بعد بھی باغ و بہار کے متن کو کلّی,جاتی رہیں۔ یہاں تک کہ دوصدیاں گزرجانے کے بعد بھی باغ و بہار کے متن کو کلّی,0.0,0.0
طور پر درست اور صحیح نہیں کہا جا سکتا۔ ہماری نظر میں اس کا بڑا اور بنیادی سبب یہ ہے,طور پر درست اور صحیح نہیں کہا جا سکتا۔ ہماری نظر میں اس کا بڑا اور بنیادی سبب یہ ہے,0.0,0.0
باغ و بہار,باغ و بہار,0.0,0.0
