test_line,evaluation_line,cer,wer
صلہ مائم,صلہ ماتم,0.25,0.5
آج تین سال گزرگئے۔ شام کا وقت تھا۔ میں یونیورسٹی ہال سے خوش خوش چلا آرہا تھا۔ میرے صدہا,آج تین سال گزرگئے۔ شام کا وقت تھا۔ میں یونیورسٹی ہال سے خوش خوش چلا آرہا تھا۔ میرے صدہا,0.0,0.0
”دوست مجھے مبار کباد دے رہے تھے۔ فرط مسرت سے میری باچھیں کھلی جاتی تھیں۔ میری زندگی کی سب سے,”دوست مجھے مبار کباد دے رہے تھے۔ فرط مسرت سے میری باچھیں کھلی جاتی تھیں۔ میری زندگی کی سب سے,0.0,0.0
پیاری آرزو کہ میں ایم۔ اے پاس ہو جاؤں، پوری ہو گئی تھی اور ایسی خوبی سے جس کی مجھے مطلق امیدنہ تھی۔ میرا,پیاری آرزو کہ میں ایم۔ اے پاس ہو جاؤں، پوری ہو گئی تھی اور ایسی خوبی سے جس کی مجھے مطلق امیدنہ تھی۔ میرا,0.0,0.0
نمبراول تھا۔ وائس چانسلر صاحب نے خود مجھ سے ہاتھ ملایا تھا اور مسکراکر فرمایا تھا کہ ”خدا تمہیں اعلیٰ ترکاموں کی,نمبراول تھا۔ وائس چانسلر صاحب نے خود مجھ سے ہاتھ ملایا تھا اور مسکراکر فرمایا تھا کہ ”خدا تمہیں اعلیٰ ترکاموں کی,0.0,0.0
توفیق دے۔“ میری خوشی کی کوئی انتہانہ تھی۔ میں نوجوان تھا، شکیل تھا، تندرست تھا۔ مال وزر کی نہ مجھے خواہش تھی,توفیق دے۔“ میری خوشی کی کوئی انتہانہ تھی۔ میں نوجوان تھا، شکیل تھا، تندرست تھا۔ مال وزر کی نہ مجھے خواہش تھی,0.0,0.0
اورنہ کچھ کی تھی۔ والدین بہت کچھ چھوڑگئے تھے۔ دنیا میں پچی خوشی میسر ہونے کے لیے جن اسباب کی ضرورت,اورنہ کچھ کمی تھی۔ والدین بہت کچھ چھوڑگئے تھے۔ دنیا میں پچی خوشی میسر ہونے کے لیے جن اسباب کی ضرورت,0.01,0.047619047619047616
ہے’ وہ سب مجھے حاصل تھے اور سب سے بڑھ کر پہلومیں ایک حوصلہ منددل تھاجونام ونمود حاصل کرنے کے لیے,ہے’ وہ سب مجھے حاصل تھے اور سب سے بڑھ کر پہلومیں ایک حوصلہ منددل تھاجونام ونمود حاصل کرنے کے لیے,0.0,0.0
بے قرار ہورہا تھا۔,بے قرار ہورہا تھا۔,0.0,0.0
گھرپر آیا۔ احباب نے یہاں بھی پیچھانہ چھوڑا۔ دعوت کی ٹھہری۔ دوستوں کی خاطر ومدارات میں بارہ,گھرپر آیا۔ احباب نے یہاں بھی پیچھانہ چھوڑا۔ دعوت کی ٹھہری۔ دوستوں کی خاطر ومدارات میں بارہ,0.0,0.0
